sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
TCGA.A6.2674.01A.02R.0821.07,0.0,0.0,0.4317472,0.0,2.723017,0.0,0.0,0.0,0.0,0.6539801,0.0,2.569588,0.0,0.0,0.0,2.9198408,0.0,3.7538648,0.0,0.0,0.0,0.0,0.0,4.1793637,0.0,0.0,0.0,1.3180768,4.4333086,0.4254421,0.0,0.0,0.0,0.0,0.0,0.0,1.9005437,1.0390453,0.0,0.0,0.34601188,0.0,0.0,1.5593258,0.0,3.3351796,2.3403544,0.0,2.3811316,2.4513595,0.0,0.0,1.3606219,2.8902578,2.5593135,2.1075177,0.0,0.0,0.0,0.0,0.0,1.9055496,1.4193758,0.95886475,0.0,0.0,0.0,1.7758851,2.9853044,0.0,2.0291514,0.0,0.21356189,0.0,2.8037734,0.0,2.6757672,0.0,0.37929177,0.0,0.0,1.6457192,2.5155811,2.901684,1.8239315,2.4524517,0.10400748,0.017140865,3.2185853,0.0,2.4129162,0.0,1.6611478,0.0,0.0,0.0,1.617098,0.0,3.7414935,1.0884104
TCGA.A6.2674.01A.02R.A278.07,0.2215285,0.14030814,2.458057,1.0618908,0.7548987,1.6185992,1.3208292,0.0,0.62765825,1.8517255,0.22540003,3.5394359,0.0,0.0,0.9568677,1.2799399,0.0,2.4220295,0.22150019,3.2022429,0.0,0.16843826,0.0,5.267608,2.7223368,0.122422025,0.71622956,0.0,2.2059197,0.0,2.385342,0.0,0.0,0.0,0.007075399,0.0,3.8099704,0.1586008,0.3096649,0.0,1.4664738,2.5131397,0.036997557,0.86993575,0.0,0.5090921,0.7292822,1.3548827,0.24459636,4.1942115,0.0,1.8625528,0.0,3.9359007,3.4106429,1.7763464,0.0,2.291803,0.55867136,0.0,2.8547578,4.8388596,0.0,4.458549,2.8347719,0.63095576,0.25252494,1.2878578,0.6879277,0.20539741,1.9845093,1.34359,0.0,0.0,0.2524832,0.62958384,3.2699199,0.0,0.0,0.32443607,0.0,0.0,1.8764845,0.20280051,1.8126842,0.0,1.4505659,0.0,0.16943151,0.0,0.0,0.0,1.1867374,0.0,0.0,0.0,3.4300463,0.0,3.4466438,1.0017774
TCGA.A6.2674.01B.04R.A277.07,0.35804293,0.0,0.43791646,2.6674452,0.0,2.007233,2.9662256,0.0,2.696855,4.1433744,0.0,5.244911,0.0,2.2239594,0.0,0.0,0.0,0.0,0.0,1.7730777,0.0,3.077331,0.0,4.175768,2.6941352,0.40577522,0.7933689,0.0,5.253409,0.0,3.0868664,0.0,0.0,0.0,1.310194,0.0,0.3832214,0.0,0.0,0.083548546,0.0,0.0,0.0,0.0,0.0,0.23325452,3.189107,4.378611,3.1035576,2.6609917,0.0,3.6099813,0.29009944,4.9589233,1.2979151,2.2423542,3.7887568,1.3804075,0.0,0.0,5.0769997,8.020369,0.0,5.134987,4.20953,0.12099773,0.0,3.7136006,4.3130584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818721,0.0,0.0,0.0,0.0,0.0,4.218352,0.62337494,0.0,2.3485675,0.0,0.0,1.0833068,0.0,0.52834094,0.0,0.0,0.0,0.0,2.2379055,5.3823977,0.0,0.0,0.017088354
TCGA.A6.2676.01A.01R.0826.07,0.17296371,1.2626718,0.9895678,0.0,1.7808912,0.0,0.0,0.0,0.0,0.04136677,0.6654339,0.7802857,0.0,0.0,0.0,2.5785012,0.0,1.5249724,1.0227932,0.1404163,1.3599889,0.0,1.0666267,1.3715578,0.0,0.0,0.0,0.0,3.2132344,0.925979,0.0,0.0,1.083628,1.4703189,0.0,1.9929545,3.5604253,0.0,0.0,0.7741443,0.0,0.0,0.0,2.0100954,0.5578331,3.6017807,0.0,0.0,0.0,0.83791685,2.9244375,0.0,1.6655195,0.0,0.6915543,0.0,0.0,0.0,3.4288182,0.0,0.6164303,0.5025412,0.0,0.0,0.0,0.0,0.6012256,2.4581547,0.68671465,0.34595826,0.0,0.0,1.4600697,0.60985637,0.9068883,1.1123953,1.3599014,0.0,1.2634356,0.0,0.0,0.0,0.0,3.814421,0.22329845,0.08339459,4.06732,0.28726667,0.0,0.25691736,1.2161282,0.0,2.172434,0.0,2.7730312,0.0,0.0,1.1008223,0.87723976,0.34002036
TCGA.A6.2677.01A.01R.0821.07,0.9586693,0.19737816,0.6979511,1.5232692,0.0,0.0,4.980262,0.0064183474,1.6931893,0.0,0.84184074,0.0,4.235453,0.0,1.6267769,0.0,0.0,0.0,3.6126454,1.5687709,3.1745722,1.4735569,0.0,0.0,0.0,0.0,3.280583,0.0,0.0,1.5488899,2.4524171,0.0,0.0,0.0,2.8384213,1.5014681,0.0,0.0,0.0,0.0,0.0,0.06687614,0.31229556,0.0,3.6739447,0.0,0.0,0.0,0.43003595,0.5992136,3.9574227,3.6881373,0.4696386,0.0,0.0,0.1290726,2.9273515,0.0,0.84012306,0.0,0.0,1.9869603,0.0,0.0,0.4483235,0.0,1.4065386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26840973,0.0,0.67216295,1.2898333,0.0,1.7533164,0.0,0.0,1.6724125,1.3263547,0.0,0.0,0.2704085,2.7673676,0.0,1.0293823,0.33590686,0.0,0.0,1.3687233,0.44261312,2.5173616,0.0,1.3861154,0.0,0.0
TCGA.A6.2677.01A.01R.A278.07,0.0,2.0808477,3.9143412,2.9923868,3.4942033,3.56108,0.6560019,1.3653092,0.0,1.4307905,2.6589773,2.7133865,0.30929437,0.0,4.4255333,1.0670689,2.3182905,3.2231817,0.0,4.7539425,1.7868719,0.0,1.110514,3.704897,3.7948313,1.7834778,1.3555341,0.30098987,0.0,0.0,3.0153182,2.6278534,3.1700788,0.0,0.0,0.0,4.175088,4.955366,2.6418138,0.0,4.8540783,4.5151653,2.5822868,1.1343687,0.068362236,0.8730393,0.64767003,3.7591562,0.0,4.95221,0.0,3.3095748,0.0,2.0830011,4.9237285,0.0,0.0,3.6248822,1.4285278,2.793313,3.089109,3.1517782,0.09783292,3.7233572,2.2991433,2.0571713,1.9122274,0.0,0.0,2.818026,3.627715,3.8155117,3.3660817,4.28452,1.0380642,1.4544461,3.9457753,0.0,0.0,2.2902536,2.969635,0.0,0.46465957,0.0,3.749848,0.0,1.897206,0.0,0.0,0.6787534,0.0,2.0679083,1.9862032,0.95691574,0.0,0.0,3.6963484,0.0,3.6601155,4.611584
TCGA.A6.2677.01B.02R.A277.07,0.0,0.0,2.0851724,3.5124621,0.0,2.3871663,3.781803,0.0,1.7472256,3.9358597,0.0,4.283483,0.23768137,2.7614603,0.47833112,0.0,0.0,0.0,0.0,2.6204696,0.0,3.792076,0.0,2.812152,2.9306922,1.6108013,1.666926,0.0,3.058641,0.0,3.5942783,0.0,0.0,0.0,2.5882106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0370357,4.151045,1.4057182,3.0331013,0.0,3.6222692,0.0,3.9192908,1.695691,1.8095914,2.194118,1.6508225,0.0,0.0,4.8142447,6.2715864,0.0,4.7234015,4.3529205,0.7983476,0.0,2.2536104,2.1161666,0.0,0.0,0.43405232,0.0,0.0,0.0,0.0,3.8833804,0.0,0.0,0.0,0.0,0.0,3.0551414,0.0,0.0,0.07594448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4536885,4.870643,0.0,0.0,0.0
TCGA.A6.2678.01A.01R.0821.07,0.0,0.0,0.0,1.5289853,0.0,0.0,2.8858278,0.0,2.195209,0.0,1.0004097,0.0,4.041557,0.0,0.0,0.5133691,0.0,0.0,4.640379,1.7206844,1.2351532,0.0,0.0,0.38118523,0.0,0.0,1.412135,0.0,0.0,2.526659,0.73400474,0.0,0.0,0.63651013,0.0,2.029755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.354827,0.0,0.0,0.35396728,0.37244225,0.0,3.91955,3.525747,1.1818134,0.0,0.0,0.17258355,2.6428192,0.0,1.8959495,1.0353581,0.0,1.7474014,0.0,0.0,0.0,0.0,1.4622777,2.0285923,0.02005428,0.0,0.0,0.0,0.0,0.0,0.84364325,0.0,0.27962267,2.3201122,2.055831,2.7592747,0.0,0.0,0.5604222,1.2285538,0.0,0.42633146,0.7216063,2.147816,0.0,2.0153418,0.15004402,0.0,0.0,0.0,1.9129319,2.9353552,0.0,0.8053628,0.0,0.0
TCGA.A6.2678.11A.01R.A32Z.07,0.0,0.0,0.0,2.8777401,0.0,0.0,0.0,0.24052417,0.6982591,3.4900377,0.0,0.0,0.48309234,2.0639253,0.0,2.2420328,3.2832441,0.0,0.0,2.7974234,0.0,0.0,0.0,0.0,1.9269204,0.0,0.0,0.0,0.0,0.0,0.0,3.1875603,0.0,2.806754,0.0,0.0,0.0,2.7408452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9695053,0.0,2.018389,0.0,3.1408405,0.0,1.7498715,0.0,2.180219,1.4762411,2.3724656,0.0,0.0,0.0,0.0,0.0,2.851361,0.0,0.0,0.0,0.9157277,0.33050382,0.0,0.0,0.0,0.0,2.5619528,0.0,1.4126313,1.8617847,0.0,0.0,2.1734376,0.0,1.7603946,0.36143124,0.0,0.0,0.0,0.0,0.0,0.0,0.50750244,0.0,2.608726,2.6567428,0.0,0.18523133,2.279307,1.2754503,0.65613973,1.2436299,0.0
TCGA.A6.2680.01A.01R.1410.07,4.0724607,0.0,0.0,0.509924,2.1408055,0.0,0.0,2.80269,2.6428542,0.0,0.0,0.18816328,0.0,0.0,0.0,1.3335829,0.0,0.0,0.0,0.0,3.6481593,1.2724841,0.0,0.0,0.0,0.0,0.0,0.73461324,0.0,0.0,0.0,2.5436382,1.9038252,0.2868902,0.53366834,0.48184535,0.0,0.0,0.0,0.8891312,0.0,0.0,3.4454257,2.8603303,1.5363617,0.059398532,0.0,0.1286665,1.9929088,0.0,0.27956545,0.009101212,2.5409563,0.0,0.0,0.0,0.1707294,0.0,0.0,0.0,0.0,0.0,3.2267962,0.56736875,0.0,2.5804646,0.0,0.0,0.0,1.1096151,0.16631228,0.0,2.1700613,1.676119,2.383638,0.0,0.29559463,0.20854975,0.3906659,0.4474896,0.0,1.0043929,0.0,0.54149234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8508625,0.0,0.46423864,1.4293718,0.0,0.0,3.82694,0.0,1.8623617
