sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
GSM1523769,0.0,5.7827835,0.0,6.9921565,5.703571,4.135775,5.8301454,6.9772954,5.4041257,0.0,4.7263174,4.4149747,5.502729,5.2112465,5.336708,0.0,0.18534327,6.789398,2.507242,2.981081,4.2080464,0.7158878,6.7880664,3.9883394,3.717722,1.9247955,3.8918548,4.3048544,4.0759554,1.4360665,7.6168356,6.4620504,4.708905,2.0357645,6.421192,6.9442945,0.0,3.636908,1.7691411,0.0,0.8647518,0.0,3.4519572,0.0,0.0,5.789669,5.3406324,0.28756118,4.2776003,2.584046,4.5923853,0.0,1.0498624,5.8618927,0.0,0.0,0.0,5.056419,6.173815,0.45594764,1.5790936,0.0,3.2139,0.0,5.361005,0.0,7.4469857,5.864394,5.1406536,5.3252606,0.0,4.7295322,0.0,2.2171,1.5436995,0.63283026,2.8679943,7.3850784,1.6949644,0.0,4.3777633,5.3707037,0.0,0.0,0.0,5.202038,3.4910507,1.1317205,0.0,4.644322,5.9406796,3.7706275,0.0,0.0,0.44642913,6.4142065,0.0,5.3634925,0.1269952,5.735815
GSM1523770,0.0,0.0,0.0,8.6704235,0.0,0.0,0.0,0.88592875,0.0,0.0,9.058815,0.0,0.0,0.0,6.3849792,7.5661583,11.19412,0.3069569,0.0,3.836638,0.0,0.0,11.082475,0.0,5.2322426,0.0,6.8764954,0.0,0.0,0.0,0.30207098,0.5201471,1.7739613,0.0,0.0,0.0,0.0,5.4236927,6.7962294,0.96534884,0.0,6.812837,0.0,0.0,6.360297,0.0,0.0,0.0,3.3197637,7.95918,0.0,5.861762,0.0,0.0,7.0404673,0.0,7.896495,6.159261,0.0,7.6544027,6.936157,0.0,7.4331627,0.0,0.0,7.070587,0.0,0.0,8.10952,0.0,0.0,0.0,8.350058,0.0,0.0,0.0,3.7722359,10.551496,3.0212862,8.597579,4.136712,0.0,0.0,0.0,9.629752,7.0437145,9.488174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659251,0.0,7.62344,0.0,0.0
GSM1523771,1.9259627,1.1475816,0.0,6.8418875,3.534689,2.8989584,0.0,0.0,7.488396,0.0,4.0131154,0.0,0.0,5.126114,0.0,0.0,1.9337907,0.0,0.0,0.0,7.0781484,0.9203315,0.0,0.0,10.446899,0.0,0.0,6.1059475,2.750915,4.853549,0.0,0.0,0.0,0.0,2.5631845,8.69862,0.23453617,7.5399036,5.620122,3.6937819,0.0,0.0,5.5824084,0.0,0.0,3.6386428,4.3809137,0.0,3.5752177,0.0,0.0,0.0,6.098925,0.0,0.0,0.0,6.7628055,5.278255,0.20673501,0.0,0.20628023,0.0,0.0,2.6913333,4.5668178,0.0,5.0518503,6.4562454,7.8597093,9.40767,0.0,6.348152,4.622733,0.0,4.5062866,0.0,0.0,7.12932,0.0,6.6784673,0.0,4.8937807,6.528514,0.82051265,0.0,2.9766254,0.0,0.8166715,0.0,0.0,6.607711,0.3611567,0.62011266,0.101177454,0.0,8.118033,3.4165478,5.6495547,1.3499876,1.2420878
GSM1523772,6.0355854,0.0,0.0,3.0579019,6.3037987,9.170501,0.0,7.6905985,5.2760215,0.0,0.0,0.0,0.0,0.0,9.409969,0.0,0.0,9.384897,0.0,0.0,6.30445,0.0,0.0,0.0,4.894951,4.6990414,0.0,2.8946934,3.8205438,7.74739,0.32950532,0.0,0.0,0.0,1.7763072,0.0,0.0,7.523055,10.783378,2.1271024,0.0,0.0,0.0,0.0,0.0,0.0,5.1918015,0.0,2.7455125,0.0,0.1685592,0.0,0.0,8.165123,0.0,0.89782864,0.0,1.524235,0.0,0.0,0.0,0.0,0.0,0.0,5.3139334,0.0,0.0,0.0,7.274876,0.0,0.0,7.635026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048643,0.0,7.6615634,0.0,0.0,0.0,0.0,0.0,2.8033228,7.830184,0.0,0.0,12.214608,3.9425774,6.809288,3.5207734,0.0
GSM1523773,5.723863,0.0,0.0,1.1396257,4.854692,7.1464005,0.0,0.0,4.3482213,0.0,6.518199,0.0,0.0,5.947572,1.8755141,0.0,0.0,7.655455,3.3081975,0.0,5.7288237,0.0,0.0,0.0,7.8052588,6.7502956,0.0,4.337311,0.0,5.7635317,0.0,0.0,0.0,0.0,0.0,3.6800733,0.58079886,7.9463825,0.0,6.1598277,0.0,0.0,6.724697,0.0,1.2985249,0.0,0.0,0.0,6.342672,5.2125645,0.117945075,0.0,6.2455235,0.3618189,0.0,5.293771,3.3235424,4.981627,7.073409,1.0456461,0.0,0.0,8.080291,5.1580906,0.0,0.0,0.0,3.009232,9.16906,4.856049,0.0,7.811366,0.0,0.0,0.0,0.0,0.0,0.88678086,0.0,3.5235088,0.0,2.1962814,0.0,5.330221,0.0,0.0,0.0,3.8911362,0.0,0.0,7.492484,0.0,1.5167923,4.110101,1.7244693,5.6452227,3.7324286,7.2827864,0.8303982,0.9823504
GSM1523774,3.0491014,7.559734,0.0,0.0,0.0,0.0,6.140976,0.0,3.9328222,0.0,0.0,0.0,0.0,0.0,0.12811291,3.0748553,0.0,6.2741165,7.2656593,3.4206884,2.4983325,0.0,0.0,7.4711175,7.637006,0.8906927,0.0,3.737685,0.4823494,7.890661,0.0,0.0,0.0,5.840216,0.35066104,8.422483,0.0,9.435025,3.193217,7.073934,4.4295077,0.0,4.549446,0.0,0.0,0.0,0.0,0.0,4.8938937,4.7395,0.0,0.0,7.3261733,0.0,0.0,5.2191978,6.560701,5.7012143,7.0565624,6.1863904,2.2247415,0.0,2.7266273,0.0,0.0,0.0,0.0,6.5684767,5.4498396,0.0,0.021531224,0.0,0.0,0.0,0.0,3.0994723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.438241,0.0,0.0,1.98002,0.0,6.9906993,0.0,6.8211555,7.7692904,0.0,0.0,5.9175916,7.5505304,3.6516113,0.0
GSM1523775,0.0,0.0,5.661374,0.0,2.6147578,0.0,7.8623023,0.0,0.0,0.5368531,7.3088617,0.0,0.56449413,0.0,7.54646,0.0,3.898637,7.0125413,6.5574,6.761295,0.0,0.0,7.5217586,0.0,9.2989645,0.0,1.6501826,0.0,7.174666,0.0,6.495985,4.146614,4.452468,0.6355889,6.548171,8.958481,3.4774208,0.0,8.394803,0.61586165,8.298332,0.0,0.0,0.0,6.9816566,7.559559,5.054949,4.774788,0.0,8.443072,4.545301,6.5535164,5.5160236,0.45465016,6.1634626,3.466544,4.6427836,0.0,0.0,6.057603,4.618593,5.2437468,3.243381,0.0,0.0,4.7351685,6.063097,0.0,0.0,0.0,0.0,7.6180706,0.0,0.0,0.104596615,5.896817,5.9485617,0.25609517,5.882531,5.032375,7.3146343,6.378795,0.0,3.8874218,0.0,0.0,5.0745435,8.837631,0.0,0.93870676,4.0135813,0.0,5.849923,5.795111,0.0,0.0,0.0,0.0,0.0,0.0
GSM1523776,0.0,0.36223423,0.0,0.0,2.3124108,0.0,0.0,0.0,5.10541,5.2161775,4.1123166,0.0,0.0,0.0,0.38727605,0.0,6.659931,0.3512349,5.3200555,0.0,0.0,2.0658367,6.2870245,8.347444,9.835521,0.0,7.5296054,0.41012228,0.0,0.77108204,0.0,0.0,8.426828,6.508759,4.839061,0.0,0.0,0.15031874,8.243154,0.0,0.0,0.0,0.0,7.24715,5.6173754,2.040372,0.0,6.100351,0.0,8.654237,0.0,0.0,0.0,7.66292,0.0,0.374071,0.34770143,7.8127728,0.0,0.0,0.0,0.0,3.9230583,5.279133,0.0,7.9951754,8.138194,0.0,0.0,0.0,4.2523255,4.500002,7.4050045,4.372156,0.0,6.009325,7.832741,9.3607645,0.0,0.0,0.0,7.7903957,0.25405622,5.8139257,8.337938,0.0,0.0,9.300743,0.044620275,0.0,0.0,0.0,0.0,0.0,0.0,6.976405,0.0,7.3528895,0.0,8.064283
GSM1523777,0.0,2.120241,4.498459,0.0,0.0,2.0234323,0.0,4.9446335,3.8816495,3.3968527,0.27234137,0.0,0.95334995,2.9525409,4.5141163,0.0,0.121216655,0.9175601,5.084576,0.0,0.0,0.9685817,4.1280894,0.0,0.0,0.7924427,0.020715237,0.0,2.7537558,0.0,0.35736752,0.9783737,0.93416107,0.0,0.64347756,4.013422,2.9575725,2.5023642,3.5709815,1.3929089,0.92487,3.4909844,1.3536073,5.2766237,0.0,0.0,1.423806,0.32446885,1.7027378,0.36153746,0.0,3.5195212,2.2895768,2.9540296,1.5488968,3.2252047,2.65783,2.560462,0.0,1.1732076,5.5134964,5.3187437,3.8009124,1.5979248,0.0,3.9342682,0.0,0.0,1.6628644,1.370033,0.0,2.4816628,2.397863,3.8365436,0.0,0.45495772,5.2420397,3.4598234,4.9703937,7.043418,4.4426336,2.2669978,3.0182471,0.0,2.6009881,7.5631027,2.492155,2.0123043,4.5279274,0.0,2.9558203,2.6892953,0.0,2.5625277,8.5329895,5.9419394,0.47823155,0.0,2.468742,0.9547895
GSM1523778,0.0,2.5316586,4.087918,7.1956673,4.704033,7.3018527,6.790347,3.9468522,6.23665,6.3131857,8.136437,6.0415096,6.4855924,4.2194195,6.624792,3.3333714,0.32134295,6.3621793,3.025772,8.223661,7.319996,0.0,6.863547,0.0,3.092627,4.820038,1.2366409,6.0480995,3.5197873,0.2358414,7.96451,0.0,5.157197,0.0,3.3844707,7.6724367,3.0311253,4.992155,0.0,0.0,0.0,4.42595,6.073288,2.043536,3.5271947,4.8234386,0.0,0.0,5.7660713,1.2108214,6.3661747,1.3532116,0.74869823,2.9517417,2.181068,2.8669522,4.488017,0.0,4.798519,4.321836,0.33177197,0.0,8.277427,0.0,0.32900834,0.0,2.2294164,0.23219538,0.0,5.9515295,0.0,1.351989,2.080779,0.0,0.0,5.556326,6.0994244,6.5544252,4.4848204,6.0017476,6.7557793,7.424999,0.0,0.5252985,0.964182,0.0,1.8530375,0.0,0.0,0.5118947,4.683341,7.0654154,4.3947835,0.56338656,0.2670517,0.0,4.550037,5.306258,2.4335089,0.007599473
